Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
112,,42.75,7.377736139048903,-33.37503933201232,9.530257162120883,6.512243354020743,29.26345596729059,38,185.56140350877192,218
113,,154.75,14.036873567421145,-7.577496659634489,16.773042810621686,12.01246580910231,52.23401871576773,50,190.6058158319871,219
114,,38.25,6.978639737521917,46.23639791195159,7.6243341456285885,7.047751545738152,25.849242404917497,82,194.72549019607843,222
115,,331.5,20.544559111348836,-1.1271498107531954,23.272336029095243,19.93260038788395,91.87615433949868,43,197.17420814479638,222
116,,68.0,9.304852983362556,59.6867345247772,13.35670637441694,6.846575048651263,35.367009357883866,71,193.59191176470588,224
117,,170.5,14.733884157863644,21.654524572021785,15.519306983028763,14.464537696574697,54.35533905932738,39,196.5542521994135,231
118,,150.0,13.81976597885342,56.24247267397441,15.092386403552446,13.056504780771524,50.112698372208094,42,195.75166666666667,219
119,,213.75,16.497119526970184,81.23010703064564,17.779875443796012,15.815740864920548,60.526911934581186,47,194.21637426900585,221
120,,36.0,6.770275002573076,14.963468343314366,8.38422590237486,5.80621100760729,25.22792206135785,47,187.14583333333334,225
121,,177.25,15.022706457370044,-84.3078805043421,16.364737997922905,14.074395991778994,55.198484809834994,54,193.96614950634697,222
122,,53.25,8.234075889688375,-84.63400275343045,9.325581186357747,7.546589443436228,30.920310216782973,51,188.94835680751174,225
123,,45.5,7.611333607551958,14.109338896773394,10.195195027165576,6.143675704795155,30.281222920256962,30,187.6868131868132,220
124,,25.5,5.698035485213008,-18.829631547664622,7.3225774949786056,4.703553869065237,20.19238815542512,51,189.76470588235293,218
125,,57.25,8.537737635702333,-89.97132338293838,10.806512089046366,7.099925222272664,32.867009357883866,64,190.85589519650654,219
126,,56.25,8.462843753216344,-5.242622651750277,9.177464688927088,7.945227228384153,29.24568901432422,91,197.39111111111112,225
127,,257.5,18.10688219350047,-86.08344678214405,21.229032250893308,17.03363858589979,72.5477272147525,78,194.29708737864078,228
128,,297.0,19.44613444328572,-41.99506627655521,22.03954034725557,17.63637560953312,74.91168824543142,52,192.7718855218855,225
129,,249.0,17.805522925178455,46.89504411329268,20.67662516265637,16.986721372511603,74.30508652763321,75,196.8734939759036,231
130,,40.0,7.136496464611085,64.05456376248905,8.725442107520937,6.160390412003173,27.15990257669732,32,173.6125,221
131,,216.25,16.5933134590105,-78.63996705101897,19.615195180620077,14.500173096453286,63.562445840513924,53,199.30057803468208,226
132,,49.5,7.938851142601841,52.18724482518839,10.695122378339972,6.77257711942081,33.42031021678297,34,179.18686868686868,227
133,,24.25,5.556622981616415,48.99230133732184,7.257911467304589,4.4471063069227,19.520815280171306,88,187.09278350515464,223
134,,76.75,9.885400096021595,87.30435050900216,11.751242175473052,8.740998530459159,36.48832970144351,84,196.7198697068404,222
135,,5.5,2.6462837142006137,66.34046247302504,3.7771985316019934,2.5995316195987104,9.224873734152915,90,186.63636363636363,217
136,,199.5,15.937731619482898,44.25056187587856,16.65083945249114,15.410554431668578,57.99442635585339,68,196.828320802005,220
137,,29.75,6.154581744998688,84.59152780982865,8.805592035262956,4.430046109241893,21.071067811865472,120,198.28571428571428,218
138,,69.75,9.423823971471327,-64.0210195962015,11.693867213723657,7.78956651329347,35.09188309203678,79,198.4336917562724,223
139,,31.0,6.282549314314218,31.788849251471852,7.3478131210783655,5.552068010673931,20.65685424949238,62,190.8951612903226,220
140,,19.5,4.982787485166879,-12.63077116931404,5.5562307855540345,4.645283743956806,17.606601717798213,70,179.71794871794873,220
141,,108.75,11.767106717028996,81.06708471836934,15.0079150481614,9.458900365258126,43.07411613907042,46,193.77011494252875,221
142,,265.25,18.377344455633462,-34.58296588979455,21.815125354316,16.132189101357643,72.01219330881976,2,194.97266729500473,218
143,,227.0,17.000746355818674,-77.32596866737241,19.49493112208592,16.09047737429134,69.26955262170047,30,195.8149779735683,221
144,,31.25,6.3078313050504,-74.62855811513798,6.847164448706349,5.907591303769404,21.31370849898476,69,192.072,222
145,,188.0,15.471555655790098,73.05304709387845,17.40870187230567,14.314112277843538,55.95584412271572,30,197.5625,217
146,,200.75,15.987583888930306,81.63048163517955,19.453879739634502,13.649055194126301,69.99442635585339,47,195.64881693648817,226
147,,79.75,10.076748170547344,73.1710502154472,11.9631473971703,9.23225624115629,40.26650429449553,52,191.06269592476488,220
148,,73.75,9.690274321412074,-75.64242476088897,12.826745527407711,7.48851614781767,35.47056274847715,58,190.47118644067797,220
149,,232.75,17.214717657780774,-54.83597346239734,19.89816436271622,15.382580461473223,63.577164466275356,80,204.99785177228787,230
150,,135.25,13.122714979204218,18.193515686480293,16.577563767985925,10.929649726685932,54.64823227814083,41,194.21996303142328,221
151,,67.75,9.287732724180174,-64.59102253788004,11.914094547478552,7.560878945666105,34.42031021678297,88,192.7380073800738,222
152,,80.75,10.139728459745083,78.89548434443844,17.29653647005689,6.022456459071269,40.849242404917504,60,191.625386996904,221
153,,107.5,11.699284211396439,70.8334993142297,12.620884715320603,11.329705432848783,41.884776310850235,53,202.3232558139535,223
154,,70.75,9.491137855389772,77.51992549830676,13.348627621256966,6.8792195260278834,35.74568901432422,54,192.25088339222614,229
155,,214.5,16.526036498377113,-86.57909250453916,20.681566878239945,13.692338806679833,62.76955262170047,72,199.54662004662003,228
156,,176.0,14.96964127403822,81.31091724946516,15.273986244617612,15.175713563163834,57.76955262170047,2,188.84375,217
157,,275.25,18.720555138359373,34.64782595089001,21.07948347338423,16.886305513301075,69.89087296526012,55,195.44686648501363,225
158,,312.25,19.93913357805586,-80.5185928718387,25.846443343447504,16.093762860243572,77.20153313703995,36,199.43234587670136,226
159,,98.0,11.170383851240114,-36.48254787738812,13.239405601586629,10.123007051340583,43.52386360737625,64,196.53571428571428,225
160,,290.25,19.223885607737603,62.710053575632514,20.613365755925496,18.375235629664918,74.25483399593905,53,198.43669250645993,229
161,,85.5,10.433694507453072,29.159199958207743,13.393118445825571,8.429011520298515,39.00609665440988,38,195.2017543859649,231
162,,71.5,9.541311620975605,-70.79187234129073,10.672819531320062,8.638210186154563,32.2634559672906,95,197.47202797202797,227
163,,123.25,12.527041705391134,-40.08430974987576,17.064681551917943,9.922808818691994,49.49137802864844,85,193.58012170385396,224
164,,160.0,14.27299292922217,1.8025823295203849,18.159170742891018,11.600051621351996,52.8700576850888,50,202.63125,226
165,,67.0,9.23618154310838,31.934856732124917,9.96349127829225,8.774006239983914,33.92031021678297,70,192.98134328358208,225
166,,30.25,6.206085419025319,-12.730359592552539,8.324564926839024,4.829575577161691,23.020815280171306,41,192.54545454545453,217
167,,85.25,10.418429401242426,37.867944192877005,13.854197071467729,9.08713152542208,43.40559159102154,53,192.31378299120234,228
168,,146.75,13.669231989760256,-83.6809029794302,18.026520219155664,11.24479576940445,52.54163056034262,52,204.6609880749574,232
169,,348.5,21.064756854523722,31.80331737717543,23.7899560451058,20.510696802169726,83.96194077712559,15,202.2144906743185,228
170,,144.25,13.552298857686367,-49.92094544394944,16.56748613875428,11.479618824628009,53.26955262170048,43,197.2374350086655,227
171,,325.25,20.34996712344056,-87.88591798286598,20.57305389385054,20.43616825014916,73.8050865276332,60,198.24289008455034,222
172,,52.0,8.136857890256438,23.807971334866995,11.063101671969855,6.435701000822612,31.920310216782973,38,187.10576923076923,225
173,,74.75,9.755749892701914,72.14188502187058,11.695144659459066,8.422557701864047,36.21320343559643,52,192.1571906354515,224
174,,224.5,16.906870727400857,33.31048459863307,17.968279916706052,16.411096566941314,66.99442635585339,24,197.70267260579064,226
175,,57.25,8.537737635702333,-86.95887709328329,10.67887694848839,7.03448803078255,31.435028842544405,42,195.3886462882096,224
176,,221.75,16.80300178673508,-60.53650473973931,21.07853928818305,14.064330113729383,67.7193000900063,46,195.11950394588501,227
177,,91.5,10.793582275744573,-50.53540293291902,12.98348898076462,9.1793703085702,40.62741699796952,46,190.6775956284153,218
178,,140.5,13.374982468597496,33.533102523189626,16.962358867692064,11.014297709341086,50.73401871576774,46,196.1405693950178,227
179,,22.5,5.352372348458314,-40.30603832167672,7.202771120659479,4.2696851921639265,18.727922061357855,86,200.56666666666666,224
180,,24.5,5.585191925620057,81.14448652183586,6.472531184471016,4.890867421125127,17.899494936611667,109,194.0,221
181,,83.5,10.31094088749354,65.18622265388314,13.988225486572501,8.280412553537795,43.248737341529164,31,194.50299401197606,230
182,,125.5,12.640868754332628,-41.1318929069471,15.271277189625565,10.920267595636046,49.04163056034262,47,194.69123505976097,224
183,,92.75,10.86705883733894,-60.72310732273391,12.865184052860847,9.502915729368615,41.42031021678298,50,193.1266846361186,220
184,,266.25,18.411953421235268,26.125890893475848,22.754653617869323,16.2550287340751,74.02691193458118,27,198.67136150234742,224
185,,67.25,9.25339718068125,-33.87767396323991,13.700869441460965,6.644536102990687,36.93807716974935,45,193.31598513011153,225
186,,318.25,20.129790985302495,-67.2958526065825,21.544586332779534,19.58099222281427,74.5477272147525,39,200.7926158680283,224
187,,250.5,17.859073490978144,-43.99980126166102,20.965759430813264,15.607832929338784,66.42335854398792,43,199.22055888223554,226
188,,86.0,10.464157913908982,-86.50541017379395,12.031446782248098,9.291945563795839,37.920310216782966,66,203.57848837209303,229
189,,134.25,13.074112164146964,-60.60604303841749,14.030356549759945,12.406308070104206,46.284271247461895,65,196.09869646182494,224
190,,317.75,20.113971893676243,-21.818358586182665,23.380356117514914,18.057813805676215,80.16904755831213,52,205.28009441384737,234
191,,48.75,7.878478774854901,28.05716998263629,9.23185329910931,7.175572081485745,29.59188309203678,53,182.24615384615385,220
192,,42.25,7.334464586120832,87.70939212141522,8.741474774636043,6.287726147510835,25.106601717798213,56,194.301775147929,225
193,,86.75,10.509687459947386,-73.67023207440552,11.061450494026381,10.188262689351523,38.42031021678298,44,198.95965417867436,230
194,,49.0,7.898654169668588,14.060503476047822,9.605052190471785,6.717064953496566,28.088834764831844,51,186.93367346938774,219
195,,33.75,6.555290583552474,-70.5691482197829,8.383653451742552,5.402575803135925,24.606601717798213,73,190.40740740740742,221
196,,64.75,9.079772052293041,49.08425084190794,11.018145377342686,7.719264273274882,32.713203435596434,68,206.73359073359075,229
197,,93.0,10.881694613449236,38.81247540450426,13.033777046107968,9.523273868330307,43.95584412271571,50,196.43010752688173,226
198,,79.5,10.060941497019325,78.42913704768071,10.793332125535084,9.900773796262289,36.50609665440988,65,198.77672955974842,221
199,,154.5,14.02553063743339,-70.16772833883205,16.047834374898773,12.409215687489846,51.23401871576773,27,197.01618122977345,224
200,,175.5,14.948362455500638,45.580807152192314,17.4940484034625,13.271128020131629,55.85533905932738,58,204.76068376068375,232
201,,53.5,8.253382073025046,13.067412707524829,8.84114301395347,7.926890166312824,29.72792206135785,39,184.15420560747663,221
